filename,width,height,class,xmin,ymin,xmax,ymax
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,416,416,license-plate,119,296,138,314
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,416,416,license-plate,284,297,303,312
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,416,416,vehicle,0,195,416,388
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,416,416,vehicle,355,226,416,364
b7cdb5c0c99002b7_jpg.rf.2c46810fbf4036039cb03a135e20e9c3.jpg,416,416,license-plate,296,170,356,203
b7cdb5c0c99002b7_jpg.rf.2c46810fbf4036039cb03a135e20e9c3.jpg,416,416,vehicle,10,49,402,342
b7cdb5c0c99002b7_jpg.rf.2c46810fbf4036039cb03a135e20e9c3.jpg,416,416,vehicle,343,56,415,154
cb8c75fc1c7ccf73_jpg.rf.a6d315cf4a3ef0824075df8c8561838b.jpg,416,416,license-plate,156,194,257,249
cb8c75fc1c7ccf73_jpg.rf.a6d315cf4a3ef0824075df8c8561838b.jpg,416,416,vehicle,0,69,77,137
cb8c75fc1c7ccf73_jpg.rf.a6d315cf4a3ef0824075df8c8561838b.jpg,416,416,vehicle,0,47,415,388
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,416,416,license-plate,43,301,78,342
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,416,416,vehicle,10,74,392,397
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,416,416,vehicle,157,21,238,80
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,416,416,vehicle,316,40,386,101
c650ff8d3e8e75b3_jpg.rf.a469a8f0edb8fddf8e2b70b102f5a5eb.jpg,416,416,vehicle,387,9,416,97
b193070a9c45b5ab_jpg.rf.57e5987eb896a7bf9fc7a1a96a660c7e.jpg,416,416,license-plate,82,241,127,269
b193070a9c45b5ab_jpg.rf.57e5987eb896a7bf9fc7a1a96a660c7e.jpg,416,416,vehicle,52,113,396,387
b193070a9c45b5ab_jpg.rf.57e5987eb896a7bf9fc7a1a96a660c7e.jpg,416,416,vehicle,313,156,416,321
d027c6e32db60e3c_jpg.rf.15a865d02f390ef84fca8e053946db31.jpg,416,416,license-plate,144,213,275,268
d027c6e32db60e3c_jpg.rf.15a865d02f390ef84fca8e053946db31.jpg,416,416,vehicle,39,19,382,394
b6e55f97085c3732_jpg.rf.09a6d8dc1a08e66131bdb8b57377b05b.jpg,416,416,license-plate,79,294,118,327
b6e55f97085c3732_jpg.rf.09a6d8dc1a08e66131bdb8b57377b05b.jpg,416,416,vehicle,0,133,154,256
b6e55f97085c3732_jpg.rf.09a6d8dc1a08e66131bdb8b57377b05b.jpg,416,416,vehicle,37,51,382,402
b6e55f97085c3732_jpg.rf.09a6d8dc1a08e66131bdb8b57377b05b.jpg,416,416,vehicle,82,129,159,160
b6e55f97085c3732_jpg.rf.09a6d8dc1a08e66131bdb8b57377b05b.jpg,416,416,vehicle,114,120,176,141
b6e55f97085c3732_jpg.rf.09a6d8dc1a08e66131bdb8b57377b05b.jpg,416,416,vehicle,379,103,416,201
b15d6c0bdf90226d_jpg.rf.775557ba6aaf7d76a8d4bb04f66d8fc5.jpg,416,416,license-plate,356,279,384,318
b15d6c0bdf90226d_jpg.rf.775557ba6aaf7d76a8d4bb04f66d8fc5.jpg,416,416,vehicle,22,104,408,370
bf0aac0878b0a3d2_jpg.rf.43ce523ba85e649db07055557d72cc9e.jpg,416,416,license-plate,258,237,304,270
be654a7eabe0e891_jpg.rf.5e43d4106641423a278d096d24822902.jpg,416,416,license-plate,227,56,230,58
be654a7eabe0e891_jpg.rf.5e43d4106641423a278d096d24822902.jpg,416,416,license-plate,326,202,371,240
be654a7eabe0e891_jpg.rf.5e43d4106641423a278d096d24822902.jpg,416,416,vehicle,20,78,387,355
cdb1e8621d1c624e_jpg.rf.b744b93a7af0771f1e5cb955155c8451.jpg,416,416,license-plate,262,254,364,297
cdb1e8621d1c624e_jpg.rf.b744b93a7af0771f1e5cb955155c8451.jpg,416,416,vehicle,97,0,415,407
d27e094e98374ff8_jpg.rf.a0e0eba539117b97eb6433295c4cfb44.jpg,416,416,license-plate,215,264,309,298
d27e094e98374ff8_jpg.rf.a0e0eba539117b97eb6433295c4cfb44.jpg,416,416,vehicle,27,36,379,354
d27e094e98374ff8_jpg.rf.a0e0eba539117b97eb6433295c4cfb44.jpg,416,416,vehicle,253,52,416,298
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,416,416,license-plate,0,216,18,228
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,416,416,license-plate,205,294,260,311
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,416,416,license-plate,363,285,410,304
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,416,416,vehicle,0,107,34,243
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,416,416,vehicle,25,58,319,381
cb4b754537798d23_jpg.rf.310e3c4544bf89d2f3109956b301db20.jpg,416,416,vehicle,240,136,416,345
b25d7d2cb7abf86b_jpg.rf.36edce738b0e69965e001035d6f85ab3.jpg,416,416,license-plate,170,258,248,317
b25d7d2cb7abf86b_jpg.rf.36edce738b0e69965e001035d6f85ab3.jpg,416,416,license-plate,407,107,416,129
b25d7d2cb7abf86b_jpg.rf.36edce738b0e69965e001035d6f85ab3.jpg,416,416,vehicle,0,0,415,415
b9f5b9acf1777acf_jpg.rf.b92969d5c3738ece6a84dcd2d0ea3ce0.jpg,416,416,license-plate,158,205,230,244
b9f5b9acf1777acf_jpg.rf.b92969d5c3738ece6a84dcd2d0ea3ce0.jpg,416,416,vehicle,0,56,81,247
b9f5b9acf1777acf_jpg.rf.b92969d5c3738ece6a84dcd2d0ea3ce0.jpg,416,416,vehicle,63,21,336,352
b9f5b9acf1777acf_jpg.rf.b92969d5c3738ece6a84dcd2d0ea3ce0.jpg,416,416,vehicle,343,81,416,251
b94993a2d67b455e_jpg.rf.62712d980344cb842644f82e63b13092.jpg,416,416,license-plate,104,135,169,168
b94993a2d67b455e_jpg.rf.62712d980344cb842644f82e63b13092.jpg,416,416,vehicle,0,108,90,285
b94993a2d67b455e_jpg.rf.62712d980344cb842644f82e63b13092.jpg,416,416,vehicle,55,87,366,321
d2fe2b47668e9d8e_jpg.rf.c3c019d146ec1fc0bcf7fbeb12c7bc7f.jpg,416,416,license-plate,330,236,416,306
d2fe2b47668e9d8e_jpg.rf.c3c019d146ec1fc0bcf7fbeb12c7bc7f.jpg,416,416,vehicle,0,94,24,175
d2fe2b47668e9d8e_jpg.rf.c3c019d146ec1fc0bcf7fbeb12c7bc7f.jpg,416,416,vehicle,5,0,415,382
c1d8b110186e095a_jpg.rf.1515701021c709417f9e92537a1d3714.jpg,416,416,license-plate,168,214,204,246
be9fd0014b5a4f2a_jpg.rf.20dc7369d0a83ad74a123727228dce11.jpg,416,416,license-plate,86,194,168,232
be9fd0014b5a4f2a_jpg.rf.20dc7369d0a83ad74a123727228dce11.jpg,416,416,vehicle,15,65,408,394
bbcac63e32bd8137_jpg.rf.ef4704b0ada4fbbf613143abf52f6f86.jpg,416,416,license-plate,154,168,309,278
bbcac63e32bd8137_jpg.rf.ef4704b0ada4fbbf613143abf52f6f86.jpg,416,416,vehicle,55,0,415,415
b5e7183b6a5abe6c_jpg.rf.fa89af80aebfc925bb0121ab5b024260.jpg,416,416,license-plate,224,293,282,333
b3b61da98e22cd4a_jpg.rf.e5f31065702d60c5746652895714f770.jpg,416,416,license-plate,298,186,341,234
b3b61da98e22cd4a_jpg.rf.e5f31065702d60c5746652895714f770.jpg,416,416,vehicle,43,44,390,330
b3b61da98e22cd4a_jpg.rf.e5f31065702d60c5746652895714f770.jpg,416,416,vehicle,238,35,269,47
b3b61da98e22cd4a_jpg.rf.e5f31065702d60c5746652895714f770.jpg,416,416,vehicle,286,30,328,47
b32671b7cc279583_jpg.rf.f898026e2169a3b6adc4d21aee6d06c5.jpg,416,416,license-plate,61,171,167,231
b32671b7cc279583_jpg.rf.f898026e2169a3b6adc4d21aee6d06c5.jpg,416,416,vehicle,2,4,416,393
c274e026ac907eb9_jpg.rf.2388de7229ba0dd3051326f64c1a770b.jpg,416,416,license-plate,119,182,223,268
c274e026ac907eb9_jpg.rf.2388de7229ba0dd3051326f64c1a770b.jpg,416,416,vehicle,0,6,77,135
c274e026ac907eb9_jpg.rf.2388de7229ba0dd3051326f64c1a770b.jpg,416,416,vehicle,0,0,415,415
bf2f25f3ed9ff4d5_jpg.rf.e9d07ec8b85372d40366bc2770b7d537.jpg,416,416,license-plate,123,243,278,297
bf2f25f3ed9ff4d5_jpg.rf.e9d07ec8b85372d40366bc2770b7d537.jpg,416,416,vehicle,10,56,403,380
bd12ea92bcab1afd_jpg.rf.fe51aa4c3da615ae6656ea88fc7250e3.jpg,416,416,license-plate,40,99,45,105
bd12ea92bcab1afd_jpg.rf.fe51aa4c3da615ae6656ea88fc7250e3.jpg,416,416,license-plate,86,106,95,111
bd12ea92bcab1afd_jpg.rf.fe51aa4c3da615ae6656ea88fc7250e3.jpg,416,416,license-plate,301,216,329,247
bd12ea92bcab1afd_jpg.rf.fe51aa4c3da615ae6656ea88fc7250e3.jpg,416,416,vehicle,0,75,416,177
bd12ea92bcab1afd_jpg.rf.fe51aa4c3da615ae6656ea88fc7250e3.jpg,416,416,vehicle,14,78,382,367
c7df5232291486a3_jpg.rf.d18b52a383576cfe6c4ec343fca07a80.jpg,416,416,license-plate,245,256,347,291
c7df5232291486a3_jpg.rf.d18b52a383576cfe6c4ec343fca07a80.jpg,416,416,vehicle,0,43,416,343
b6ecda23586a6ba5_jpg.rf.d737139968dd3f08447305aa7b7f6002.jpg,416,416,license-plate,120,307,168,354
b6ecda23586a6ba5_jpg.rf.d737139968dd3f08447305aa7b7f6002.jpg,416,416,vehicle,68,83,359,390
b6ecda23586a6ba5_jpg.rf.d737139968dd3f08447305aa7b7f6002.jpg,416,416,vehicle,113,88,162,180
